500;2;0.003000;747;504;3;1;2;65.876155;65.876155;
700500;3;6.507000;2088154;711873;5515;87;5514;50.210643;50.218654;49.706974;
710500;3;6.565000;2118028;721978;5594;88;5593;50.206170;50.211996;49.841578;
720500;3;6.662000;2147902;732081;5672;89;5671;50.210395;50.214375;49.964178;
730500;3;6.767000;2177776;742184;5750;90;5749;50.214511;50.216690;50.084017;
740500;3;6.846000;2208416;752548;5830;92;5829;50.210226;50.219002;49.658187;
750500;3;6.907000;2238290;762653;5909;93;5908;50.205997;50.212695;49.786005;
760500;3;6.975000;2268164;772756;5987;94;5986;50.210002;50.214940;49.902612;
770500;3;7.083000;2298038;782859;6065;95;6064;50.213915;50.217132;50.016731;
780500;3;7.203000;2328678;793225;6146;97;6145;50.201933;50.211143;49.622686;
790500;3;7.227000;2358207;803211;6223;98;6222;50.206468;50.214090;49.728047;
800500;3;7.297000;2388081;813314;6301;99;6300;50.210277;50.216211;49.839291;
810500;3;7.423000;2418721;823678;6382;100;6381;50.206652;50.210455;49.972148;
820500;3;7.484000;2448595;833781;6460;101;6459;50.210361;50.212563;50.078730;
830500;3;7.660000;2478469;843886;6538;103;6537;50.206302;50.214625;49.683488;
840500;3;7.709000;2508343;853991;6617;104;6616;50.202572;50.209045;49.797411;
850500;3;7.825000;2538217;864094;6695;105;6694;50.206198;50.211095;49.901569;
860500;3;7.857000;2568857;874456;6775;106;6774;50.210020;50.213150;50.018745;
870500;3;7.981000;2598731;884563;6854;108;6853;50.199051;50.207780;49.650450;
880500;3;8.097000;2628605;894666;6932;109;6931;50.202588;50.209774;49.752116;
890500;3;8.147000;2658479;904769;7010;110;7009;50.206051;50.211724;49.851912;
900500;3;8.280000;2689119;915133;7091;111;7090;50.202841;50.206600;49.971369;
910500;3;8.439000;2718993;925238;7169;113;7168;50.199221;50.208541;49.613334;
920500;3;8.516000;2748687;935279;7246;114;7245;50.206100;50.214101;49.703860;
930500;3;8.585000;2778561;945382;7324;115;7323;50.209377;50.215921;49.799702;
940500;3;8.946000;2809201;955746;7405;116;7404;50.206267;50.210968;49.914423;
950500;3;8.834000;2839075;965849;7483;117;7482;50.209472;50.212782;50.006798;
960500;3;8.851000;2868949;975954;7561;119;7560;50.205972;50.214563;49.666367;
970500;3;8.953000;2898823;986059;7640;120;7639;50.202744;50.209731;49.765116;
980500;3;9.147000;2929463;996421;7720;121;7719;50.206130;50.211545;49.868783;
990500;3;9.177000;2959337;1006524;7798;122;7797;50.209212;50.213284;49.957717;
1000500;3;9.917000;2989211;1016631;7877;124;7876;50.199672;50.208610;49.638327;
1010500;3;9.623000;3019085;1026734;7955;125;7954;50.202752;50.210339;49.726968;
